ID,Language_ID,Headword,Part_Of_Speech,1st_Person_SG,3rd_Person_SG,Contains,Entry_IDs,Etymology,Heterosemes,Lovono_Equivalent,Main_Entry,Morphology,Orthographic_Variant,Paradigm_Form,Phonetic_Form,Reduplication_Form,Tanema_Equivalent,Variant_Form
LX000001,tkw,~a,"verb, intransitive",,,,LX000103,,,,,,,,(i·)a,,,
a-_1,tkw,a-,subject prefix,,,,,,,nu-,,,,,a(i)·,,"go-, gi-",ai-
aba_1,tkw,aba,possessive,,,,enaka_1,,,amere,,,,,aᵐba,,abe,
aba_2,tkw,aba,possessive,,,,one_1,,,,,,,,aᵐba,,,
abia_1,tkw,abia,adjective,,,,engaenga_1 ; idi_abia_1,,,maranga,,,,,aᵐbia,,"abia, opokei",
ngatene_abia_1,tkw,ngatene abia,noun,,,abia_1,,,,,,,,,,,,
moro_abia_1,tkw,moro abia,locative,,,abia_1,,,,,,,,,,,,
abiaini_1,tkw,abiaini,adjective,,,,,,,abiaole,,,,,aᵐbiaini,,abenini,
abigo_1,tkw,abigo,noun,,,,,,,,,,,,aᵐbiᵑgo,,,
abilo_1,tkw,abilo,noun,,,,lava_abilo_1,,,nene,,,,,aᵐbilo,,,
abilo_peini_revo_1,tkw,abilo peini revo,noun,,,abilo_1,,,,,,,,,,,,
abo_1,tkw,abo,noun,,,,,,,,,,,,aᵐbo,,abome,
abo_2,tkw,abo,noun,,,,ne_2,,,amwale,,,,1s: abo ne ene ; 2s: abo ne eo ; 3s: abo ne ini,aᵐbo,,aba,
abu_1,tkw,abu,modal,,,,,,,abu,,,,,aᵐbu,,abu,
LX000002,tkw,~abu,"verb, intransitive",,,,LX000148 ; LX000006,,LX000003,~pwo,,,,,(i·)aᵐbu,,~kabu,
LX000003,tkw,~abu,"2nd verb, intrans.",,,,LX000433,,LX000002,~pwo,,,,,(i·)aᵐbu,,~kabu,
LX000004,tkw,~abu,"verb, transitive",,,,LX000538 ; LX000005 ; LX000010 ; LX000040 ; LX000043 ; LX000060 ; LX000198 ; LX000250 ; LX000255 ; LX000337 ; LX000343 ; LX000439 ; LX000484 ; LX000497 ; LX000503 ; LX000530 ; LX000538 ; LX000545 ; LX000479,,,,,,,,(i·)aᵐbu,,~rara,
LX000005,tkw,~abu,"verb, transitive",,,,LX000018,,,,,,,,(i·)aᵐbu,,~wo,
LX000006,tkw,~abu ~te,"serial vb, intr.",,,,,,,,,,,,(i·)aᵐbu (i·)te,,,
LX000007,tkw,~abui,"verb, transitive",,,,LX000239,,,,,Caus. of [~abu](LX000002) ‘go down’,,,(i·)aᵐbui,,,
abwa_1,tkw,abwa,noun,,,,,,,,,Cf. (?) [abo](abo_2) ‘blood’,,,aᵐbʷa,,,
abwa_nabene_1,tkw,abwa nabene,noun,,,abwa_1,moloe_1,,,,,,,,,,,
abwa_motono_1,tkw,abwa motono,adjective,,,abwa_1,,,,abokoleva,,[nga](nga_1) + [motono](motono_1),,,,,,abwa nga motono
abwa_nga_toloto_1,tkw,abwa nga toloto,adjective,,,abwa_1,,,,,,[nga](nga_1) + [toloto](toloto_1),,,,,,nga toloto
abwa_bale_1,tkw,abwa bale,noun,,,,,,,,,[abwa](abwa_1) ‘gum’ + [bale](bale_1) ‘breadfruit’,,,aᵐbʷa ᵐbale,,,
abwaro_1,tkw,abwaro,noun,,,,luro_1,,,,,,,,aᵐbʷaro,,,
ada_1,tkw,ada,possessive,,,,enaka_1,,,adere,,,,,aⁿda,,adea,
ada_2,tkw,ada,possessive,,,,one_1,,,,,,,,aⁿda,,,
adapa_1,tkw,adapa,possessive,,,,enaka_1,,,adore,,,,,aⁿdapa,,adato,
adapa_2,tkw,adapa,possessive,,,,one_1,,,,,,,,aⁿdapa,,,
adawo_1,tkw,adawo,noun,,,,ioti_1,,,,,,,,aⁿdawo,,,
adie_1,tkw,adie,"noun, relational",,,,LX000298,,adie_2,,,,,,aⁿdie,,,
