ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Example_Comment_English,Example_URL,Sense_IDs
XV000001,tkw,Ebel' en' i-a.,,,I'm terrified!,,,,,SN000001
XV000002,tkw,A-tomoli!,,,You're lying!,,,,,SN000002
XV000003,tkw,K' a-tab' a-mui?,,,Have you forgotten again?,,,,,SN000002
XV000004,tkw,Ai-ovei?,,,Do you know?,,,,,SN000002
XV000005,tkw,Bai-ali buioe aba awoiu.,,,We've picked our areca nuts (for us to chew).,,,,,SN000003
XV000006,tkw,et' aba,,,our mother (the mother of my sibling and myself),,,,,SN000004
XV000007,tkw,"Ne ngogoro uña menuko abia, ka pe-romo p-ajau!",,,"There are many animals in the woods, be careful!",,,,,SN000005 ; SN000771 ; SN001345
XV000008,tkw,Abia tamwase!,,,There are too many!,,,,,SN000005
XV000009,tkw,Ni-bo abia.,,,I've cut many of them.,,,head of NP,,SN000005
XV000010,tkw,kiapa abia na,,,all of us here,,,,,SN000006 ; SN000887
XV000011,tkw,A-romo abia ponu awoiu?,,,Have you seen them all?,,,,,SN000006 ; SN000228
XV000012,tkw,"Moro abia pon, nga pon.",,,The same would happen every day.,,,,https://doi.org/10.24397/pangloss-0003352#S39,SN000008 ; SN001669
XV000013,tkw,Uie vilo pon abiaini.,,,This leaf is thick.,,,,,SN000009
XV000014,tkw,Abiaini tamwase.,,,It's too thick.,,,,,SN000009 ; SN002089
XV000015,tkw,Abilo pon i-ovei pe i-somoli mwaliko.,,,This kind of snake can be harmful.,,,,,SN000011
XV000016,tkw,Abilo i-tataele ne tanoe.,,,There’s a snake crawling on the ground.,,,,,SN000011 ; SN002108
XV000017,tkw,kiñe abo,,,blades of grass,,,,,SN000013 ; SN000907
XV000018,tkw,"Men' one i-tabau i-woi visibaele ini ne touro, abo i-ke.",,,My son fell down and hurt his knee on the reef; he was bleeding.,,,,,SN000014
XV000019,tkw,Abo peini ma i-udu.,,,His blood was dripping from his hand.,,,,,SN000014 ; SN002381
XV000020,tkw,"Abo na, (abo) ne ngele?",,,Whose blood is this?,,,,,SN000014
XV000021,tkw,I-ko i-la abo ne kaipa i-ko i-romo abo i-ko pi-tavie we tae.,,,He wants to draw your blood and examine it to see if you are sick.,,,,,SN000014 ; SN002123
