ID,Description,Entry_ID,Antonym,Bibliographical_Reference,Encyclopedic_Info,Etymology_Source,Infobox,Infobox_Teanu,Lexical_Function_Gloss,Literally,Media_IDs,Scientific_Name,Semantic_Domain,Sense_Comment,Synonym,Syntactic_Restriction,Typical_Subject
SN000001,tremble with fear; feel very uncomfortable,LX000001,,,,,,,,,,,,,,,body
SN000002,you: second singular realis prefix,a-_1,u-_1,,"Morph.: Becomes [ai-](ai-_1) before a vowel, or some monosyllabic roots.",,,,,,,,,,,,
SN000003,"(food+) for me and him/her: form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 1 exclusive dual possessor (see [keba](keba_1))",aba_1,,,,,,,,,,,,,,,
SN000004,"our (relative), of me and him/her: form of the possessive classifier used for kin terms ([one](one_1)*), with a 1 exclusive dual possessor (see [keba](keba_1))",aba_2,,,,,,,,,,,,,,,
SN000005,"many, a lot of; numerous",abia_1,amjaka_1,,,,,,,,,,,,,,
SN000006,"all, every",abia_1,,,,,,,,,,,,,awoiu_4,,
SN000007,everything,ngatene_abia_1,,,,,,,,thing all,,,,,,,
SN000008,"every day, always",moro_abia_1,,,,,,,,day all,,,,,,,
SN000009,thick,abiaini_1,LX000265,,,,,,,,,,,,,,
SN000010,k.o. plant,abigo_1,,,,,,,,,,Acalypha hispida ; Acalypha grandis,Bot,,,,
SN000011,snake,abilo_1,,,,,,,,,292937c52d83157c3f9c917fb151efec,,,,,,
SN000012,seasnake,abilo_peini_revo_1,,,,,,,,snake of the sea,e44a665fa653e4057e407a1d4990a409,Laticauda semifasciata,Sea,,meviko_takataka_1,,
SN000013,grass,abo_1,,,,,,,,,,,,,,,
SN000014,blood,abo_2,,,,,,,,,,,Anat,,,,
SN000015,intimate feelings. Used in some expressions,abo_2,,,,,,,,,,,,fig ; rare,,,
SN000016,"‘all right’, ‘let's’",abu_1,,,,,,,,,,,Gram,,,before hortative,
SN000017,marks polite order: ‘please’,abu_1,,,Cognate with the conative prefix [bu-](bu-_1).,,,,,,,,Disc,,,before imperative verb,
SN000018,"encouragement towards action: ‘come on’, ‘please’",abu_1,,,,,,,,,,,,,,used alone,
SN000019,go down,LX000002,LX000471,,,,,,,,,,,,,physical motion,
SN000020,"subside, slow down",LX000002,,,,,,,,,,,,fig,,,
SN000021,travel north or west,LX000002,LX000471,,,,,,,go downwind,,,,,,geocentric meaning,
SN000022,(move+) down,LX000003,,,,,,,,,,,,,,after intransitive verb,
SN000023,"(take, move s.th.) down",LX000003,,,,,,,,,,,,,,after transitive verb,
SN000024,"downwind, towards north or west",LX000003,,,,,,,,,,,,,,geocentric meaning,
SN000025,"hit, strike ‹s.th., s.o.›, typic. with o.'s hands",LX000004,,,,,,,,,,,,,,,
SN000026,"have an impact upon ‹s.th., s.o.›, affect",LX000004,,,,,,,,,,,,fig,,,s.th.
SN000027,play ‹musical instrument› using hands,LX000004,,,,,,,,,,,,,,,
SN000028,"kill, slay, murder ‹s.o.›",LX000004,,,,,,,,,,,,,LX000040,,
SN000029,"kill ‹animal›, hence hunt, fish+",LX000004,,,,,,,,,,,,,,,
SN000030,"wash ‹clothes+› with water, esp. vigorously",LX000005,,,,,,,,,,,,,,,
SN000031,sit down,LX000006,,,,,,,,descend sit,,,,,,,
SN000032,take ‹s.th.› down,LX000007,,,,,,,,,,,,,,,
SN000033,sap ‹of tree›: natural liquid coming out of a plant's trunk or stem,abwa_1,ela_2 ; tepulu_1,,,,,,,,092740aa274623302271bb106cd064e6,,,,,,
SN000034,liquid characterized by its specific colour; hence colour,abwa_1,,,,,,,,,,,,,,,
SN000035,red-brown colour,abwa_nabene_1,,,,,,,,tobacco colour,,,,,,,
SN000036,deep blue,abwa_motono_1,,,,,,,,colour (like) the deep sea,,,,,,,
SN000037,"turquoise blue, blue-green",abwa_nga_toloto_1,,,,,,,,colour like the lagoon,,,,,,,
SN000038,"resin of the breadfruit tree ([bale](bale_1)), used as glue; hence glue",abwa_bale_1,,,,,,,,breadfruit gum,,,,,,,
SN000039,"coconut ‘milk’, obtained by squeezing coconut flesh",abwaro_1,,,,,,,,,,,Food,,,,coconut
SN000040,"their (food+), of them two: form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 3 dual possessor (see [da](da_1))",ada_1,,,,,,,,,,,Gram,,,,
SN000041,"their (relative): form of the possessive classifier used for kin terms ([one](one_1)*), with a 3 dual possessor (see [da](da_1))",ada_2,,,,,,,,,,,Gram,,,,
SN000042,"their (food+): form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 3 plural possessor (see [dapa](dapa_1))",adapa_1,,,,,,,,,,,Gram,,,,
SN000043,"their (relative): form of the possessive classifier used for kin terms ([one](one_1)*), with a 3 plural possessor (see [dapa](dapa_1))",adapa_2,,,,,,,,,,,Gram,,,,
SN000044,cloud,adawo_1,,,,,,,,,,,,gen,,,
SN000045,back,adie_1,,,,,,,,,,,Anat,arch,utedie_1,,s.o.
SN000046,rear part of ‹s.th.›,adie_1,,,,,,,,,,,,,viri_1,,
SN000047,later phase of ‹s.th.›,adie_1,,,,,,,,,,,,,,,
SN000048,"afterwards, then",adie_2,,,More commonly preceded with a preposition [ne](ne_1).,,,,,,,,,rare,,,
SN000049,Egghead Parrotfish,adiro_1,,,,,,,,,,Scarus oviceps,Fish,,,,
SN000050,what?,ae_1,,,"Sometimes longer form [nganae](nganae_1)*, from ngaten' ae.",,,,,,,,,,,,
SN000051,"hesitation marker used when looking for one's words, esp. before a noun",ae_1,,,,,,,,,,,,,,between pauses,
SN000052,hollow out; remove stuff from ‹wood+›,LX000008,,,,,,,,,,,,,,,
SN000053,dig a hole in ‹ground›,LX000008,,,,,,,,,,,,,,affected object,
SN000054,dig ‹hole› in s.th.,LX000008,,,,,,,,,,,,,,effected object,
SN000055,"dig out, harvest ‹yam, hill taro›",LX000008,,,,,,,,,,,,,,,
SN000056,"lower limb: leg, foot",aele_1,,,,,,,,,,,Anat,,,,s.o.
SN000057,take a number of steps,LX000009,,,,,,,,take legs,,,,,,,
SN000058,"name of a Spirit ([tamate](tamate_1)), with thick legs",Aele_Teulungo_1,,,,,,,,pillow legs,,,Myth,,,,
SN000059,"fence, hedge",aero_1,,,,,,,,,9bc9e58fe2786b71453380608d323904,,,,,,
SN000060,"fence around pen, in a farm; hence pen",aero_1,,,,,,,,,,,,esp,,,
SN000061,"limit, border",aero_1,,,,,,,,,,,,gen,,,
SN000062,"district, area, territory",aero_1,,,,,,,,,,,,hence,,,
SN000063,seashell of any form,aero_2,,,,,,,,,1e8b9ad932fa4b5021cd4e6b727df353,,Sea,gen,,,
SN000064,"bivalve shell, traditionally used as an instrument to grate ([~lu](LX000235)) coconut flesh or scrape the skin of tubers",aero_2,,,,,,,,,,,,esp,,,
SN000065,"small cone shell used as traditional money ([viko](viko_1)) in Vanikoro, and other parts of Melanesia",aero_we_anive_1,,,,,,,,shellfish for dugong,3b017bc391b0af930fe5094c9c947a49,Conus musicus ceylanensis,Sea,,vesevelae_1,,
SN000066,the sun,aeve_1,,,,,,,,,,,,,,,
SN000067,"the sun in its daily course, as a reference for indicating the time of the day",aeve_1,,,,,,,,,,,,esp,,,
SN000068,hours on the clock; o'clock,aeve_1,,,,,,,,,,,,hence,,,
SN000069,"pointed arrowhead (of an arrow, [puro](puro_1)), made of strong wood",agilo_1,,,,,,,,,,,,,,,
SN000070,spear ‹fish+›,LX000010,,,,,,,,,,,,,LX000538,,
SN000071,"shoot ‹s.o., s.th.› using bow ([visone](visone_1)) and arrow ([puro](puro_1))",LX000010,,,,,,,,,,,,,LX000538,,
SN000072,"strike (s.o., s.th.: [ñe](LX000313)) using a long object",LX000011,,,,,,,,,,,,,,,
SN000073,k.o. ant,aguro_1,,,,,,,,,,,Ins,,,,
SN000074,you: variant of [a-](a-_1) (2sg Realis prefix) before a vowel or certain monosyllabic roots,ai-_1,,,,,,,,,,,Gram,,,,
SN000075,God,LX000012,,,,,,,,our Father,,,Christ,,mwaliko_pine_1,,
SN000076,father,aia_1,,,The symmetrical term is [menu](menu_1) (pl. [dameliko](dameliko_1)) or [apali](apali_1).,,,,,,,,Kin,,,,
SN000077,"classificatory father: any male member of the parental generation (F, FB, FZH, MZH…) except the maternal uncle (MB = [gea](gea_1))",aia_1,,,,,,,,,,,,,,,
SN000078,"affectionate address term, used by an elderly person, to a young man who has children – including to his own son. Sometimes a child's name is mentioned",aia_2,,,,,,,,father!,,,,,,,
SN000079,be difficult,LX000013,LX000536,,,,,,,,,,,,,,s.th.
SN000080,"form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with an impersonal possessor ([idi](idi_1) ‘people’)",aidi_1,,,,,,,,,,,Gram,,,,
SN000081,"form of the possessive classifier used for kin terms ([one](one_1)*), with an impersonal possessor ([idi](idi_1) ‘people’)",aidi_2,,,,,,,,,,,,,,,
SN000082,"your (food+), of you and them: form of the possessive classifier used for food, tools, customary possessions etc. ([enaka](enaka_1)*), with a 2 plural possessor (see [kaipa](kaipa_1)*)",aipa_1,,,,,,,,,,,Gram,,,,
SN000083,"your (relative): form of the possessive classifier used for kin terms ([one](one_1)*), with a 2 plural possessor (see [kaipa](kaipa_1)*)",aipa_2,,,,,,,,,,,,,,,
SN000084,"stand up, get up",LX000014,,,,,,,,,,,,,,,
SN000085,"depart, leave a place, take leave",LX000014,,,,,,,,,,,,,,,
SN000086,wake up,LX000015,,,,,,,,get up in the morning,,,,,,,
SN000087,"do, make: variant of [~ejau](LX000095)*",LX000016,,,,,,,,,,,,,,,
SN000088,"rubbish, refuse, garbage",ajekele_1,,,,,,,,,,,,,,,
SN000089,blow strongly,LX000017,,,,,,,,,,,,,,,wind
